FISBN,Title,Author,Co-authors,Year,Fiction Flag,Genre,Subgenre,Paperback Flag,Price
978-555-0-32177-000-9,The Big Goodbye,Tracy Tormé,_COAUTHORS_,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-001-6,The Hound of the Baskervilles,Sir Arthur Conan Doyle,_COAUTHORS_,2019,Fiction,Mystery,Detective,Paperback,$18.99
978-555-0-32177-002-3,Chess Middlegame Tactics,Akeelah Anderson,_COAUTHORS_,2019,Nonfiction,Games,Chess,Paperback,$18.99
978-555-0-32177-003-0,Pies and Tarts,Wolfgang Berg,_COAUTHORS_,2019,Nonfiction,Cookbook,Desserts,Paperback,$18.99
978-555-0-32177-004-7,Java Collections In Depth,Alonso del Arte,_COAUTHORS_,2019,Nonfiction,Computer Programming,Java,Paperback,$38.99
978-555-0-32177-005-4,"VAERS: Fact & Fiction, Explained","Dr. Romancepreet Kaur, M.D.","Dr. Elizabeth Williams, DDS",2021,Nonfiction,Health,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-006-1,The Path or the Journey,Clayten Bruce,_COAUTHORS_,2019,Fiction,Thriller,Mystical,Paperback,$18.99
978-555-0-32177-007-8,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-008-5,Peering Into the Mysteries of Salesforce,Nathan Shortneck,_COAUTHORS_,2019,Nonfiction,Computer Programming,Salesforce,Paperback,$38.99
978-555-0-32177-009-2,I Have Touched the Sky,Janet Hrabak,_COAUTHORS_,2019,Fiction,Romance,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-010-8,The Return,Michael Ogbono,_COAUTHORS_,2019,Fiction,Thriller,Military,Paperback,$18.99
978-555-0-32177-011-5,Star Trek: Drag Coefficients,Jesús María Peña,_COAUTHORS_,2019,Fiction,Science fiction,Star Trek,Paperback,$18.99
978-555-0-32177-012-2,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-013-9,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-014-6,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-015-3,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-016-0,Get Satbir on the Horn,Harbir Singh,_COAUTHORS_,2019,Fiction,Thriller,Spy,Paperback,$18.99
978-555-0-32177-017-7,Sonnets,William Shakespeare,_COAUTHORS_,2019,Fiction,Poetry,_SUBGENRE_,Paperback,$8.99
978-555-0-32177-018-4,Quick Notes: The Shakespeare Sonnets,Songlian Wu,_COAUTHORS_,2019,Nonfiction,Literature,Literary analysis,Paperback,$18.99
978-555-0-32177-019-1,_TITLE_,_AUTHOR_,_COAUTHORS_,2019,Fiction,_GENRE_,_SUBGENRE_,Paperback,$18.99
978-555-0-32177-020-7,Les Girls,Jenny Schechter,_COAUTHORS_,2019,Fiction,Drama,_SUBGENRE_,Paperback,$18.99
